,employeeno,trainings_attended,last_performance_score,targets_met,previous_award,training_score_average,no_of_previous_employers,promoted_or_not,age,working_for,is_female,schooled_abroad,is_married,was_disciplined,was_moved,division_Business Finance Operations,division_Commercial Sales and Marketing,division_Customer Support and Field Operations,division_Information Technology and Solution Support,division_Information and Strategy,division_People/HR Management,division_Regulatory and Legal services,division_Research and Innovation,division_Sourcing and Purchasing,channel_of_recruitment_Agency and others,channel_of_recruitment_Direct Internal process,channel_of_recruitment_Referral and Special candidates,qualification_First Degree or HND,"qualification_MSc, MBA and PhD",qualification_Non-University Education
5638,YAK/S/07953,2,12.5,1,0,64,0,0,36,10,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
5639,YAK/S/07954,2,12.5,0,0,42,1,0,25,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
5640,YAK/S/07955,2,7.5,1,0,74,1,0,37,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
5641,YAK/S/07956,2,2.5,0,0,43,1,0,45,17,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5642,YAK/S/07957,2,10.0,0,0,45,5,0,47,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
5643,YAK/S/07959,2,12.5,1,0,62,1,0,39,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
5644,YAK/S/07960,3,7.5,0,0,44,0,0,40,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
5645,YAK/S/07961,3,7.5,0,0,39,0,0,32,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
5646,YAK/S/07962,2,7.5,0,0,46,2,0,38,5,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
5647,YAK/S/07963,3,10.0,0,0,40,1,0,54,5,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
5648,YAK/S/07964,2,5.0,0,0,44,0,0,50,19,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5649,YAK/S/07966,3,7.5,0,0,71,0,0,40,15,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
5650,YAK/S/07968,2,0.0,0,0,51,1,0,19,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
5651,YAK/S/07970,2,7.5,0,0,44,1,0,25,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
5652,YAK/S/07971,4,2.5,1,0,40,6,0,33,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5653,YAK/S/07973,2,12.5,1,0,73,1,1,29,7,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
5654,YAK/S/07975,2,7.5,1,0,51,1,1,40,15,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
5655,YAK/S/07976,2,12.5,1,0,39,0,0,29,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
5656,YAK/S/07977,3,7.5,0,0,60,0,0,24,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
5657,YAK/S/07981,2,5.0,0,0,72,1,0,40,14,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
5658,YAK/S/07982,2,7.5,1,0,75,0,0,35,7,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
5659,YAK/S/07983,2,2.5,0,0,39,1,0,25,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5660,YAK/S/07986,2,2.5,0,0,47,5,0,34,8,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
5661,YAK/S/07987,2,2.5,0,0,69,0,0,34,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
5662,YAK/S/07988,2,12.5,0,0,51,3,0,37,5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
5663,YAK/S/07989,2,10.0,1,0,77,1,0,32,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
5664,YAK/S/07991,2,12.5,1,0,67,2,0,41,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
5665,YAK/S/07992,2,7.5,0,0,60,0,0,31,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
5666,YAK/S/07993,2,12.5,0,0,81,1,0,50,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
5667,YAK/S/07994,2,7.5,0,0,42,1,0,23,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
5668,YAK/S/07996,2,7.5,0,0,51,1,0,29,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
5669,YAK/S/07997,2,10.0,0,0,51,1,0,23,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
5670,YAK/S/07998,2,10.0,1,0,57,1,0,24,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
5671,YAK/S/07999,2,7.5,1,0,51,0,1,52,23,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
5672,YAK/S/08001,3,10.0,0,0,54,0,0,34,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
5673,YAK/S/08002,2,7.5,0,0,70,1,0,37,11,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
5674,YAK/S/08006,2,2.5,0,0,40,1,0,24,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
5675,YAK/S/08007,2,12.5,0,0,42,1,0,35,8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
5676,YAK/S/08008,2,10.0,0,0,57,1,0,40,5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
5677,YAK/S/08010,2,7.5,0,0,41,1,0,29,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
5678,YAK/S/08011,2,10.0,0,0,44,1,0,39,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
5679,YAK/S/08012,2,12.5,1,0,48,0,0,51,7,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
5680,YAK/S/08016,2,12.5,0,0,78,3,0,26,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
5681,YAK/S/08017,2,10.0,1,0,68,0,0,31,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
5682,YAK/S/08019,2,0.0,0,0,54,0,0,23,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
5683,YAK/S/08020,2,2.5,0,0,45,1,0,22,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5684,YAK/S/08023,2,7.5,0,0,75,0,1,34,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
5685,YAK/S/08024,2,12.5,0,0,43,0,0,35,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5686,YAK/S/08025,2,12.5,1,0,52,0,0,26,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
5687,YAK/S/08027,2,7.5,0,0,41,0,0,33,7,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5688,YAK/S/08029,2,7.5,0,0,71,0,0,30,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
5689,YAK/S/08030,2,7.5,1,0,53,1,0,36,9,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
5690,YAK/S/08032,4,7.5,1,0,50,1,0,33,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
5691,YAK/S/08033,2,10.0,1,0,53,0,0,42,7,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
5692,YAK/S/08034,4,10.0,0,0,76,1,0,27,6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
5693,YAK/S/08035,2,5.0,0,0,59,0,0,35,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
5694,YAK/S/08036,2,7.5,0,0,71,0,0,30,8,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
5695,YAK/S/08037,2,2.5,0,0,46,1,0,33,5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
5696,YAK/S/08038,2,10.0,0,0,75,1,0,30,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
5697,YAK/S/08039,2,7.5,0,0,42,1,0,29,5,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5698,YAK/S/08040,2,0.0,0,0,42,1,0,25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
5699,YAK/S/08042,2,10.0,0,0,69,5,0,36,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
5700,YAK/S/08043,2,12.5,1,0,80,2,0,35,10,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
5701,YAK/S/08046,3,10.0,1,0,66,0,0,34,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
5702,YAK/S/08047,2,7.5,0,0,51,1,1,24,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5703,YAK/S/08048,2,7.5,0,0,45,1,0,29,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
5704,YAK/S/08049,2,7.5,0,0,57,1,0,30,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
5705,YAK/S/08050,3,7.5,0,0,62,1,0,33,7,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
5706,YAK/S/08053,2,2.5,0,0,44,0,0,25,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5707,YAK/S/08054,2,7.5,0,0,67,1,0,30,5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
5708,YAK/S/08055,2,7.5,0,0,45,3,0,32,10,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
5709,YAK/S/08057,2,2.5,0,0,49,1,0,34,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
5710,YAK/S/08059,6,2.5,0,0,41,1,0,38,11,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
5711,YAK/S/08060,2,7.5,0,0,66,1,0,34,8,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
5712,YAK/S/08061,2,12.5,1,0,42,0,0,46,11,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
5713,YAK/S/08062,4,7.5,1,0,79,4,0,29,7,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
5714,YAK/S/08063,2,7.5,0,0,71,1,0,31,6,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
5715,YAK/S/08065,2,12.5,0,0,51,1,0,24,5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
5716,YAK/S/08066,2,2.5,0,0,72,1,0,31,9,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
5717,YAK/S/08067,3,7.5,0,0,70,0,0,28,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
5718,YAK/S/08069,2,7.5,0,0,50,5,0,32,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
5719,YAK/S/08070,2,7.5,1,0,42,4,1,38,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5720,YAK/S/08072,4,12.5,1,0,52,0,0,30,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
5721,YAK/S/08073,2,12.5,0,0,56,2,0,24,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
5722,YAK/S/08074,2,7.5,0,0,74,0,0,25,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
5723,YAK/S/08075,2,7.5,0,0,54,1,1,37,9,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
5724,YAK/S/08076,2,12.5,1,0,59,1,0,30,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
5725,YAK/S/08077,2,7.5,1,0,84,0,1,35,10,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
5726,YAK/S/08080,2,2.5,0,0,38,3,0,24,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
5727,YAK/S/08081,4,0.0,1,0,58,0,0,25,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
5728,YAK/S/08082,2,2.5,0,0,67,1,0,22,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
5729,YAK/S/08083,4,2.5,0,0,46,2,0,22,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5730,YAK/S/08084,3,10.0,1,0,70,1,1,26,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
5731,YAK/S/08085,3,2.5,0,0,75,1,0,28,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
5732,YAK/S/08086,2,12.5,1,0,67,1,0,39,11,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
5733,YAK/S/08087,4,7.5,1,0,44,0,1,28,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5734,YAK/S/08088,2,7.5,0,0,40,3,0,31,9,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
5735,YAK/S/08090,2,12.5,0,0,40,0,0,24,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
5736,YAK/S/08091,2,0.0,1,0,48,2,0,26,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
5737,YAK/S/08094,3,12.5,1,0,52,0,0,28,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
5738,YAK/S/08095,2,10.0,0,0,79,1,0,27,7,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
5739,YAK/S/08096,2,12.5,1,0,77,0,0,24,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
5740,YAK/S/08097,2,12.5,0,0,59,0,0,30,6,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
5741,YAK/S/08098,3,12.5,0,1,55,2,1,38,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5742,YAK/S/08100,2,12.5,0,0,72,1,1,24,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
5743,YAK/S/08101,2,12.5,0,1,72,1,1,58,9,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
5744,YAK/S/08102,2,2.5,0,0,41,0,0,29,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
5745,YAK/S/08104,3,10.0,0,0,78,1,0,24,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
5746,YAK/S/08106,2,7.5,1,0,67,1,0,27,6,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
5747,YAK/S/08107,2,7.5,1,0,54,0,0,44,8,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
5748,YAK/S/08109,3,7.5,0,0,71,0,0,27,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
5749,YAK/S/08110,2,2.5,0,0,40,1,0,27,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5750,YAK/S/08113,2,12.5,1,0,43,1,0,44,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
5751,YAK/S/08114,2,7.5,0,0,57,2,1,34,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
5752,YAK/S/08115,2,12.5,1,0,57,1,0,31,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5753,YAK/S/08117,2,5.0,0,0,62,1,0,39,6,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
5754,YAK/S/08119,2,5.0,0,0,40,2,0,50,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
5755,YAK/S/08120,2,7.5,1,0,41,0,1,38,11,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
5756,YAK/S/08122,3,0.0,0,0,38,1,0,26,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5757,YAK/S/08123,2,12.5,1,0,74,0,0,38,6,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
5758,YAK/S/08124,2,7.5,0,0,53,1,0,52,11,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
5759,YAK/S/08125,2,7.5,1,0,50,1,0,31,4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
5760,YAK/S/08126,2,10.0,1,0,51,0,0,35,8,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
5761,YAK/S/08127,3,7.5,0,0,40,0,0,23,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
5762,YAK/S/08128,2,5.0,0,0,42,1,0,28,9,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
5763,YAK/S/08129,3,7.5,0,0,66,3,0,50,7,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
5764,YAK/S/08130,3,0.0,0,0,49,1,0,22,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5765,YAK/S/08131,2,12.5,1,0,71,1,0,43,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
5766,YAK/S/08132,2,7.5,0,0,49,0,0,21,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
5767,YAK/S/08133,3,0.0,0,0,78,1,0,29,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
5768,YAK/S/08135,3,7.5,0,0,73,1,0,28,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
5769,YAK/S/08136,2,7.5,0,0,53,1,0,35,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
5770,YAK/S/08137,2,7.5,1,0,51,0,0,30,7,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
5771,YAK/S/08142,3,12.5,0,0,75,1,0,32,9,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
5772,YAK/S/08143,2,7.5,1,0,63,1,0,35,10,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
5773,YAK/S/08145,2,0.0,1,0,40,5,0,23,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5774,YAK/S/08146,2,7.5,0,0,57,0,0,34,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
5775,YAK/S/08149,2,7.5,0,0,75,1,0,25,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
5776,YAK/S/08150,2,7.5,0,0,52,1,0,26,5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
5777,YAK/S/08151,2,12.5,1,0,44,2,0,27,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
5778,YAK/S/08152,3,7.5,0,0,44,1,0,26,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
5779,YAK/S/08157,3,10.0,0,0,44,1,0,27,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
5780,YAK/S/08158,2,12.5,1,0,71,0,0,37,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
5781,YAK/S/08159,2,12.5,0,0,52,0,0,43,13,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
5782,YAK/S/08160,2,10.0,1,0,39,4,0,29,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
5783,YAK/S/08163,3,2.5,0,0,42,1,0,31,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
5784,YAK/S/08164,2,12.5,1,1,83,3,1,33,7,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
5785,YAK/S/08165,2,10.0,0,0,54,5,0,23,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5786,YAK/S/08166,2,12.5,1,0,52,1,0,34,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
5787,YAK/S/08168,2,7.5,0,0,64,1,0,33,7,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
5788,YAK/S/08171,2,7.5,1,1,50,1,1,35,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
5789,YAK/S/08172,3,0.0,1,0,78,0,1,30,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
5790,YAK/S/08174,2,5.0,0,0,43,6,0,37,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
5791,YAK/S/08177,2,7.5,0,0,40,1,0,35,10,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5792,YAK/S/08178,2,5.0,0,0,38,1,0,31,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
5793,YAK/S/08179,4,7.5,1,0,61,1,0,25,5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
5794,YAK/S/08180,2,10.0,1,1,49,0,0,31,7,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
5795,YAK/S/08181,2,12.5,1,0,54,0,0,29,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
5796,YAK/S/08183,2,7.5,0,0,44,1,0,33,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
5797,YAK/S/08184,2,0.0,0,0,71,1,0,29,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
5798,YAK/S/08185,2,10.0,1,0,48,1,0,32,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
5799,YAK/S/08186,3,2.5,0,0,39,0,0,27,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
5800,YAK/S/08187,2,12.5,0,0,77,0,0,30,6,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
5801,YAK/S/08188,3,5.0,0,0,45,1,0,48,7,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5802,YAK/S/08189,3,12.5,1,0,42,1,0,26,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5803,YAK/S/08191,2,7.5,1,0,42,1,0,34,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
5804,YAK/S/08192,2,10.0,0,0,76,0,0,30,7,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
5805,YAK/S/08194,2,0.0,0,0,65,0,0,22,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
5806,YAK/S/08195,3,12.5,1,0,77,0,0,37,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
5807,YAK/S/08197,2,12.5,1,0,41,1,0,39,15,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5808,YAK/S/08198,2,7.5,1,0,55,1,1,31,5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
5809,YAK/S/08199,2,12.5,1,0,60,1,0,27,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
5810,YAK/S/08200,4,7.5,0,0,42,6,0,29,9,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
5811,YAK/S/08201,2,7.5,0,0,42,1,0,54,15,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
5812,YAK/S/08202,2,7.5,0,0,60,1,0,27,7,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
5813,YAK/S/08203,2,7.5,1,1,73,0,0,33,9,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
5814,YAK/S/08207,2,7.5,1,0,52,2,0,29,5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
5815,YAK/S/08208,2,7.5,0,0,41,1,0,26,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
5816,YAK/S/08210,2,7.5,0,0,48,1,0,36,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
5817,YAK/S/08211,2,10.0,0,0,54,2,0,31,7,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
5818,YAK/S/08212,2,5.0,0,0,55,1,0,33,8,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
5819,YAK/S/08213,2,7.5,0,0,78,1,0,26,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
5820,YAK/S/08214,2,10.0,1,0,42,1,0,29,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5821,YAK/S/08216,2,7.5,0,0,59,1,0,29,5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
5822,YAK/S/08219,3,7.5,0,0,45,0,0,34,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
5823,YAK/S/08220,2,12.5,1,0,46,1,0,29,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5824,YAK/S/08223,2,10.0,0,0,47,1,0,31,7,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
5825,YAK/S/08224,2,7.5,0,0,42,0,0,42,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
5826,YAK/S/08225,2,5.0,0,0,54,3,0,26,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
5827,YAK/S/08226,2,0.0,1,0,41,0,1,22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
